Hazard Unique Identifier,Region,Hazard Event,Quarter,Year,Duration,Fatalities,Injuries,Property Damage,Hazard Event (Grouped)
849,2,Coastal/ Wind,1,1981,1,43,0,358928,Coastal
850,3,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1981,1,0,5,196875,Lightning/Storms
851,1,Winter Weather,4,1981,1,0,0,119996,Winter Weather
852,2,Coastal/ Flooding,4,1981,4,0,0,113525,Coastal
853,4,Tornado,3,1981,1,0,0,84530,Storms
854,2,Severe Storm/Thunder Storm,3,1981,1,0,0,73680,Storms
855,3,Lightning/ Severe Storm/Thunder Storm,3,1981,1,0,0,41470,Lightning/Storms
856,5,Flooding,3,1981,1,0,0,25799,Flooding
857,3,Flooding,3,1981,1,0,0,25339,Flooding
858,4,Wind,1,1981,1,0,0,18821,Wind
859,3,Wind,1,1981,1,0,0,18635,Wind
860,2,Wind,1,1981,1,0,0,18530,Wind
861,1,Wind,1,1981,1,0,0,16829,Wind
862,6,Wind,1,1981,1,0,0,16827,Wind
863,5,Wind,1,1981,1,0,0,16240,Wind
864,1,Winter Weather,4,1981,1,0,0,12703,Winter Weather
865,4,Lightning,2,1981,1,0,0,8233,Lightning
866,3,Tornado,2,1981,1,0,0,7895,Storms
867,2,Severe Storm/Thunder Storm,2,1981,1,0,0,7593,Storms
868,4,Tornado,2,1981,1,0,0,7463,Storms
869,4,Lightning,3,1981,1,10,10,7227,Lightning
870,1,Severe Storm/Thunder Storm,2,1981,1,0,0,4273,Storms
871,4,Tornado,1,1981,1,0,0,4227,Storms
872,4,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1981,1,0,0,1098,Hail/Storms
873,1,Winter Weather,1,1981,1,0,0,460,Winter Weather
874,5,Wind,1,1981,1,6,0,0,Wind
875,4,Wind,1,1981,1,7,0,0,Wind
876,3,Heat,2,1981,1,11,0,0,Drought/Heat
877,2,Coastal/ Severe Storm/Thunder Storm/ Wind,2,1982,2,0,0,10714814,Coastal
878,2,Tornado,2,1982,1,0,93,3844506,Storms
879,6,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,2,2111595,Hail/Storms
880,5,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,2,2086077,Hail/Storms
881,2,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,2,2072545,Hail/Storms
882,4,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,3,2040841,Hail/Storms
883,3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,2,1802288,Hail/Storms
884,1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,2,1749513,Hail/Storms
885,3,Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,0,780393,Lightning/Storms
886,2,Tornado,2,1982,1,0,0,721503,Storms
887,2,Severe Storm/Thunder Storm,4,1982,1,0,0,435018,Storms
888,4,Lightning,3,1982,1,0,0,85093,Lightning
889,1,Severe Storm/Thunder Storm,2,1982,1,0,0,82271,Storms
890,2,Lightning/ Wind,2,1982,1,0,0,77460,Wind
891,1,Lightning/ Severe Storm/Thunder Storm,3,1982,1,11,0,75098,Lightning/Storms
892,1,Wind,2,1982,1,0,0,41728,Wind
893,3,Winter Weather,1,1982,1,0,0,29457,Winter Weather
894,1,Winter Weather,1,1982,1,0,0,29239,Winter Weather
895,6,Winter Weather,1,1982,1,0,0,28647,Winter Weather
896,5,Winter Weather,1,1982,1,0,0,28259,Winter Weather
897,3,Winter Weather,1,1982,2,0,0,18917,Winter Weather
898,6,Winter Weather,1,1982,2,0,0,18554,Winter Weather
899,4,Winter Weather,1,1982,2,0,0,17970,Winter Weather
900,2,Winter Weather,1,1982,2,0,0,17920,Winter Weather
901,5,Winter Weather,1,1982,2,0,0,17321,Winter Weather
902,1,Winter Weather,1,1982,2,0,0,16328,Winter Weather
903,1,Flooding/ Severe Storm/Thunder Storm,2,1982,1,0,0,8593,Flooding/Storms
904,4,Wind,3,1982,1,0,0,8403,Wind
905,5,Severe Storm/Thunder Storm/ Wind,1,1982,1,0,0,7725,Storms
906,4,Lightning,3,1982,1,0,23,7657,Lightning
907,5,Lightning/ Wind,3,1982,1,0,0,7617,Wind
908,5,Flooding/ Lightning,2,1982,1,0,0,4218,Flooding
909,3,Flooding/ Lightning,2,1982,1,0,0,3997,Flooding
910,4,Flooding/ Lightning,2,1982,1,0,0,3973,Flooding
911,2,Flooding/ Lightning,2,1982,1,0,0,3950,Flooding
912,3,Flooding,1,1982,14,0,0,3828,Flooding
913,1,Flooding,1,1982,14,0,0,3516,Flooding
914,4,Flooding,1,1982,14,0,0,3367,Flooding
915,2,Hail/ Severe Storm/Thunder Storm,2,1982,1,0,0,3013,Hail/Storms
916,1,Hail/ Severe Storm/Thunder Storm,2,1982,1,0,0,2868,Hail/Storms
917,5,Winter Weather,1,1982,1,0,1,1848,Winter Weather
918,6,Winter Weather,1,1982,1,0,1,1841,Winter Weather
919,2,Winter Weather,1,1982,1,0,3,1840,Winter Weather
920,3,Winter Weather,1,1982,1,12,1,1740,Winter Weather
921,1,Winter Weather,1,1982,1,0,1,1722,Winter Weather
922,4,Winter Weather,1,1982,1,0,1,1676,Winter Weather
923,1,Winter Weather,4,1982,1,0,0,1230,Winter Weather
924,1,Hail,2,1982,1,0,0,769,Hail
925,4,Tornado,3,1982,1,0,0,737,Storms
926,4,Hail/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,0,232,Hail/Storms
927,3,Hail/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,0,227,Hail/Storms
928,1,Hail/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,0,226,Hail/Storms
929,5,Hail/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,0,212,Hail/Storms
930,2,Hail/ Severe Storm/Thunder Storm/ Wind,2,1982,1,0,0,199,Hail/Storms
931,2,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,2,0,0,170,Hail/Storms
932,1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,2,0,0,168,Hail/Storms
933,6,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,2,0,0,166,Hail/Storms
934,5,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,2,0,0,164,Hail/Storms
935,3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,2,0,0,156,Hail/Storms
936,4,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1982,2,0,0,155,Hail/Storms
937,6,Winter Weather,1,1982,1,0,0,0,Winter Weather
938,6,Winter Weather,2,1982,1,0,0,0,Winter Weather
939,1,Winter Weather,1,1982,1,0,0,0,Winter Weather
940,1,Winter Weather,2,1982,1,0,0,0,Winter Weather
941,2,Winter Weather,1,1982,1,0,0,0,Winter Weather
942,2,Winter Weather,2,1982,1,0,0,0,Winter Weather
943,4,Winter Weather,1,1982,1,0,0,0,Winter Weather
944,4,Winter Weather,2,1982,1,0,0,0,Winter Weather
945,3,Winter Weather,1,1982,1,0,0,0,Winter Weather
946,3,Winter Weather,2,1982,1,0,0,0,Winter Weather
947,5,Winter Weather,1,1982,1,0,0,0,Winter Weather
948,5,Winter Weather,2,1982,1,0,0,0,Winter Weather
949,1,Lightning,3,1982,1,11,0,0,Lightning
950,3,Severe Storm/Thunder Storm/ Wind,2,1982,1,0,0,0,Storms
951,6,Winter Weather,2,1982,2,0,0,0,Winter Weather
952,1,Winter Weather,2,1982,2,0,0,0,Winter Weather
953,2,Winter Weather,2,1982,2,0,0,0,Winter Weather
954,4,Winter Weather,2,1982,2,0,0,0,Winter Weather
955,3,Winter Weather,2,1982,2,0,0,0,Winter Weather
956,5,Winter Weather,2,1982,2,0,0,0,Winter Weather
957,5,Lightning,2,1982,1,0,12,0,Lightning
958,4,Tornado,2,1983,1,0,0,1937312,Storms
959,2,Coastal/ Severe Storm/Thunder Storm,1,1983,2,0,0,1203391,Coastal
960,2,Coastal/ Severe Storm/Thunder Storm/ Wind,1,1983,2,0,0,1201693,Coastal
961,4,Lightning,3,1983,1,0,12,799971,Lightning
962,4,Tornado,2,1983,1,0,23,766919,Storms
963,2,Flooding,1,1983,1,0,0,550544,Flooding
964,6,Coastal/ Flooding/ Severe Storm/Thunder Storm/ Wind,1,1983,1,0,0,187458,Coastal
965,6,Winter Weather,4,1983,1,7,0,187458,Winter Weather
966,5,Winter Weather,4,1983,1,7,0,185321,Winter Weather
967,4,Winter Weather,4,1983,1,7,0,185028,Winter Weather
968,3,Winter Weather,4,1983,1,7,0,183426,Winter Weather
969,3,Coastal/ Flooding/ Severe Storm/Thunder Storm/ Wind,1,1983,1,0,0,182099,Coastal
970,2,Coastal/ Flooding/ Severe Storm/Thunder Storm/ Wind,1,1983,1,0,0,178998,Coastal
971,4,Coastal/ Flooding/ Severe Storm/Thunder Storm/ Wind,1,1983,1,0,0,177878,Coastal
972,1,Winter Weather,4,1983,1,6,0,169332,Winter Weather
973,1,Coastal/ Flooding/ Severe Storm/Thunder Storm/ Wind,1,1983,1,0,0,167661,Coastal
974,5,Coastal/ Flooding/ Severe Storm/Thunder Storm/ Wind,1,1983,1,0,0,157926,Coastal
975,2,Winter Weather,4,1983,1,6,0,156720,Winter Weather
976,1,Winter Weather,1,1983,2,0,0,127776,Winter Weather
977,5,Lightning/ Wind,3,1983,1,0,0,82779,Wind
978,4,Wind,1,1983,1,0,0,78895,Wind
979,2,Flooding,1,1983,14,0,0,78820,Flooding
980,1,Severe Storm/Thunder Storm/ Wind,3,1983,1,0,0,77658,Storms
981,4,Tornado,3,1983,1,0,0,71968,Storms
982,5,Severe Storm/Thunder Storm/ Wind,4,1983,1,0,0,46885,Storms
983,4,Severe Storm/Thunder Storm/ Wind,4,1983,1,0,0,45067,Storms
984,3,Severe Storm/Thunder Storm/ Wind,4,1983,1,0,0,44948,Storms
985,3,Wind,4,1983,1,0,0,35784,Wind
986,5,Severe Storm/Thunder Storm/ Wind,4,1983,2,0,0,30772,Storms
987,1,Severe Storm/Thunder Storm/ Wind,4,1983,2,0,0,30763,Storms
988,6,Severe Storm/Thunder Storm/ Wind,4,1983,2,0,0,29919,Storms
989,4,Severe Storm/Thunder Storm/ Wind,4,1983,2,0,0,29016,Storms
990,3,Severe Storm/Thunder Storm/ Wind,4,1983,2,0,0,28011,Storms
991,2,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1983,1,0,12,27838,Hail/Storms
992,3,Lightning/ Wind,3,1983,1,0,0,24595,Wind
993,5,Lightning/ Wind,3,1983,1,0,0,24047,Wind
994,1,Flooding/ Wind,4,1983,1,0,0,21953,Wind
995,3,Flooding/ Wind,4,1983,1,0,0,21396,Wind
996,1,Lightning/ Wind,3,1983,1,0,0,21192,Wind
997,6,Flooding/ Wind,4,1983,1,0,0,21126,Wind
998,4,Lightning/ Wind,3,1983,1,0,0,21036,Wind
999,5,Flooding/ Wind,4,1983,1,0,0,20876,Wind
1000,2,Winter Weather,4,1983,2,1,0,18935,Winter Weather
1001,6,Winter Weather,4,1983,2,1,0,18892,Winter Weather
1002,6,Lightning/ Wind,3,1983,1,0,0,18847,Wind
1003,5,Winter Weather,1,1983,1,0,0,18759,Winter Weather
1004,4,Flooding/ Wind,4,1983,1,0,0,18572,Wind
1005,2,Winter Weather,1,1983,1,0,0,18218,Winter Weather
1006,4,Lightning/ Wind,3,1983,1,0,0,18113,Wind
1007,4,Winter Weather,1,1983,1,0,0,18032,Winter Weather
1008,1,Winter Weather,1,1983,1,0,0,17366,Winter Weather
1009,3,Winter Weather,4,1983,2,2,0,17307,Winter Weather
1010,1,Winter Weather,4,1983,2,2,0,17235,Winter Weather
1011,1,Lightning/ Wind,3,1983,1,0,0,16870,Wind
1012,3,Winter Weather,1,1983,1,0,0,16837,Winter Weather
1013,2,Lightning/ Wind,3,1983,1,0,0,16648,Wind
1014,6,Winter Weather,1,1983,1,0,0,16427,Winter Weather
1015,3,Lightning/ Wind,3,1983,1,0,0,16123,Wind
1016,5,Lightning/ Wind,3,1983,1,0,0,16069,Wind
1017,4,Winter Weather,4,1983,2,0,0,15980,Winter Weather
1018,5,Winter Weather,4,1983,2,3,0,15678,Winter Weather
1019,5,Lightning/ Tornado/ Wind,3,1983,1,0,0,8510,Lightning/Storms
1020,3,Lightning,3,1983,1,0,25,8397,Lightning
1021,2,Severe Storm/Thunder Storm/ Wind,1,1983,1,0,0,8319,Storms
1022,4,Wind,3,1983,1,0,0,8319,Wind
1023,2,Flooding/ Severe Storm/Thunder Storm,1,1983,1,0,0,7717,Flooding/Storms
1024,4,Hail/ Severe Storm/Thunder Storm/ Wind,2,1983,1,0,0,7201,Hail/Storms
1025,1,Severe Storm/Thunder Storm/ Wind,3,1983,1,0,0,7186,Storms
1026,1,Winter Weather,4,1983,1,0,0,6557,Winter Weather
1027,2,Wind/ Winter Weather,1,1983,1,0,0,1877,Winter Weather
1028,1,Wind/ Winter Weather,1,1983,1,0,0,1851,Winter Weather
1029,3,Wind/ Winter Weather,1,1983,1,0,0,1812,Winter Weather
1030,6,Wind/ Winter Weather,1,1983,1,0,0,1613,Winter Weather
1031,4,Wind/ Winter Weather,1,1983,1,0,0,1579,Winter Weather
1032,5,Wind/ Winter Weather,1,1983,1,0,0,1575,Winter Weather
1033,6,Winter Weather,2,1983,2,0,0,0,Winter Weather
1034,1,Winter Weather,2,1983,2,0,0,0,Winter Weather
1035,2,Winter Weather,2,1983,2,0,0,0,Winter Weather
1036,4,Winter Weather,2,1983,2,0,0,0,Winter Weather
1037,3,Winter Weather,2,1983,2,0,0,0,Winter Weather
1038,5,Winter Weather,2,1983,2,0,0,0,Winter Weather
1039,5,Lightning,3,1983,1,11,0,0,Lightning
1040,2,Hurricane/Tropical Storm,3,1984,5,0,0,1335526,Storms
1041,5,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,0,867738,Hail/Storms
1042,3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,38,845070,Hail/Storms
1043,4,Flooding/ Severe Storm/Thunder Storm,3,1984,1,0,0,834449,Flooding/Storms
1044,1,Flooding/ Lightning/ Wind,3,1984,1,0,24,822956,Flooding
1045,4,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,0,801635,Hail/Storms
1046,5,Lightning,1,1984,1,0,0,772785,Lightning
1047,1,Hail/ Wind,1,1984,1,0,0,769139,Hail/Storms
1048,4,Flooding/ Severe Storm/Thunder Storm,2,1984,1,11,0,745519,Flooding/Storms
1049,2,Tornado,1,1984,1,0,89,740288,Storms
1050,1,Lightning,3,1984,1,0,0,735215,Lightning
1051,3,Flooding/ Lightning/ Severe Storm/Thunder Storm,2,1984,1,0,36,396894,Flooding/Storms
1052,3,Hail,1,1984,1,0,0,373116,Hail
1053,2,Flooding/ Wind,4,1984,13,0,0,140986,Wind
1054,1,Flooding/ Severe Storm/Thunder Storm,3,1984,1,0,0,83722,Flooding/Storms
1055,3,Wind,2,1984,1,0,0,83563,Wind
1056,4,Wind,2,1984,1,0,0,80258,Wind
1057,1,Flooding/ Severe Storm/Thunder Storm,2,1984,1,0,0,79989,Flooding/Storms
1058,3,Hail,2,1984,1,0,0,78063,Hail
1059,5,Lightning,2,1984,1,0,0,76168,Lightning
1060,5,Lightning,3,1984,1,0,0,76026,Lightning
1061,1,Hail/ Wind,2,1984,1,0,0,73085,Hail/Storms
1062,1,Flooding,3,1984,2,0,0,72174,Flooding
1063,3,Lightning,3,1984,1,0,0,40087,Lightning
1064,3,Winter Weather,1,1984,1,0,0,30353,Winter Weather
1065,1,Winter Weather,1,1984,1,0,0,28137,Winter Weather
1066,2,Winter Weather,1,1984,1,0,0,27141,Winter Weather
1067,5,Flooding/ Lightning/ Severe Storm/Thunder Storm,3,1984,1,0,0,27105,Flooding/Storms
1068,2,Flooding/ Lightning/ Severe Storm/Thunder Storm,3,1984,1,0,0,26985,Flooding/Storms
1069,4,Flooding/ Lightning/ Severe Storm/Thunder Storm,3,1984,1,0,0,26903,Flooding/Storms
1070,5,Winter Weather,1,1984,1,0,0,25998,Winter Weather
1071,3,Flooding/ Lightning/ Severe Storm/Thunder Storm,3,1984,1,0,0,25091,Flooding/Storms
1072,3,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,18907,Flooding/Storms
1073,2,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,3,18881,Flooding/Storms
1074,1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,18855,Hail/Storms
1075,5,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,18397,Hail/Storms
1076,5,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,1,18368,Flooding/Storms
1077,2,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,18167,Flooding/Storms
1078,1,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,18120,Flooding/Storms
1079,6,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,2,17610,Flooding/Storms
1080,4,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,17574,Flooding/Storms
1081,3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,17533,Hail/Storms
1082,1,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,2,17145,Flooding/Storms
1083,6,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,16953,Flooding/Storms
1084,4,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,16817,Hail/Storms
1085,4,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,1,16667,Flooding/Storms
1086,6,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,16446,Hail/Storms
1087,3,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,2,16178,Flooding/Storms
1088,5,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,16167,Flooding/Storms
1089,2,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,16150,Hail/Storms
1090,1,Flooding/ Severe Storm/Thunder Storm,1,1984,2,0,0,12429,Flooding/Storms
1091,1,Flooding/ Severe Storm/Thunder Storm,1,1984,1,0,0,11847,Flooding/Storms
1092,4,Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,8478,Storms
1093,5,Wind,2,1984,1,0,0,8431,Wind
1094,4,Flooding/ Wind,2,1984,1,0,0,8368,Wind
1095,5,Hail/ Wind,1,1984,1,0,0,8279,Hail/Storms
1096,1,Lightning,3,1984,1,0,0,8042,Lightning
1097,3,Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,7965,Storms
1098,2,Lightning,3,1984,1,0,0,7952,Lightning
1099,5,Hail,2,1984,1,0,0,7886,Hail
1100,4,Wind,3,1984,1,0,0,7750,Wind
1101,3,Hail,1,1984,1,0,0,7615,Hail
1102,1,Flooding/ Hail,2,1984,1,0,0,7567,Flooding
1103,3,Lightning,3,1984,1,0,22,7479,Lightning
1104,1,Lightning/ Wind,2,1984,1,0,0,7350,Wind
1105,4,Lightning,3,1984,1,0,0,7268,Lightning
1106,2,Hail,2,1984,1,0,0,7265,Hail
1107,1,Winter Weather,1,1984,1,0,0,4753,Winter Weather
1108,1,Hail/ Wind,2,1984,1,0,0,2900,Hail/Storms
1109,5,Hail/ Wind,2,1984,1,0,0,2767,Hail/Storms
1110,4,Hail/ Wind,2,1984,1,0,0,2739,Hail/Storms
1111,3,Hail/ Wind,2,1984,1,0,0,2647,Hail/Storms
1112,4,Wind,1,1984,1,0,0,1801,Wind
1113,6,Wind,1,1984,1,0,0,1757,Wind
1114,3,Wind,1,1984,1,0,0,1752,Wind
1115,1,Wind,1,1984,1,0,0,1734,Wind
1116,2,Wind,1,1984,1,0,0,1659,Wind
1117,5,Wind,1,1984,1,0,0,1641,Wind
1118,1,Wind,4,1984,1,0,0,1593,Wind
1119,1,Winter Weather,4,1984,2,0,0,1389,Winter Weather
1120,1,Severe Storm/Thunder Storm,1,1984,2,0,0,1367,Storms
1121,3,Hail,2,1984,1,0,0,761,Hail
1122,6,Drought,2,1984,20,0,0,0,Drought/Heat
1123,1,Drought,2,1984,20,0,0,0,Drought/Heat
1124,2,Drought,2,1984,20,0,0,0,Drought/Heat
1125,4,Drought,2,1984,20,0,0,0,Drought/Heat
1126,3,Drought,2,1984,20,0,0,0,Drought/Heat
1127,5,Drought,2,1984,20,0,0,0,Drought/Heat
1128,3,Hail,2,1984,1,0,0,0,Hail
1129,2,Coastal/ Hurricane/Tropical Storm/ Severe Storm/Thunder Storm/ Wind,3,1985,2,0,0,9541131,Coastal
1130,2,Hail/ Tornado,2,1985,1,0,0,858623,Hail/Storms
1131,2,Tornado,4,1985,1,0,0,829535,Storms
1132,2,Hail/ Tornado,2,1985,1,0,0,770724,Hail/Storms
1133,5,Tornado,4,1985,1,0,0,715162,Storms
1134,2,Winter Weather,1,1985,5,4,0,187923,Winter Weather
1135,3,Wildfire,1,1985,21,0,0,184098,Wildfire
1136,4,Winter Weather,1,1985,5,4,0,182530,Winter Weather
1137,5,Winter Weather,1,1985,5,4,0,181806,Winter Weather
1138,4,Wildfire,1,1985,21,0,0,177378,Wildfire
1139,1,Wildfire,1,1985,21,0,0,176069,Wildfire
1140,6,Wildfire,1,1985,21,0,0,175879,Wildfire
1141,3,Winter Weather,1,1985,5,4,0,175397,Winter Weather
1142,5,Wildfire,1,1985,21,0,0,170797,Wildfire
1143,1,Winter Weather,1,1985,5,3,0,166696,Winter Weather
1144,6,Winter Weather,1,1985,5,3,0,163129,Winter Weather
1145,2,Wildfire,1,1985,21,0,0,162802,Wildfire
1146,1,Hail/ Wind,2,1985,1,0,0,140285,Hail/Storms
1147,1,Flooding/ Severe Storm/Thunder Storm,3,1985,3,0,0,90472,Flooding/Storms
1148,5,Lightning,3,1985,1,0,0,87178,Lightning
1149,4,Severe Storm/Thunder Storm/ Wind,2,1985,1,0,0,82160,Storms
1150,1,Flooding/ Hail/ Wind,2,1985,1,0,0,76977,Flooding
1151,5,Lightning,3,1985,1,0,0,74773,Lightning
1152,2,Lightning,3,1985,1,0,0,74639,Lightning
1153,2,Flooding,4,1985,1,0,0,74282,Flooding
1154,1,Wind,3,1985,1,0,0,72839,Wind
1155,1,Wind,2,1985,1,0,0,72673,Wind
1156,3,Lightning,3,1985,1,0,0,72602,Lightning
1157,2,Hurricane/Tropical Storm,4,1985,1,0,0,72094,Storms
1158,5,Hail/ Severe Storm/Thunder Storm/ Wind/ Winter Weather,1,1985,2,0,0,18874,Hail/Storms
1159,1,Hail/ Wind,2,1985,1,0,0,18564,Hail/Storms
1160,3,Hail/ Severe Storm/Thunder Storm/ Wind/ Winter Weather,1,1985,2,0,0,18341,Hail/Storms
1161,2,Hail/ Wind,2,1985,1,0,0,17886,Hail/Storms
1162,6,Hail/ Wind,2,1985,1,0,0,17764,Hail/Storms
1163,4,Hail/ Severe Storm/Thunder Storm/ Wind/ Winter Weather,1,1985,2,0,0,17316,Hail/Storms
1164,5,Hail/ Wind,2,1985,1,0,0,16775,Hail/Storms
1165,4,Hail/ Wind,2,1985,1,0,0,16389,Hail/Storms
1166,2,Hail/ Severe Storm/Thunder Storm/ Wind/ Winter Weather,1,1985,2,0,0,16188,Hail/Storms
1167,3,Hail/ Wind,2,1985,1,0,0,16152,Hail/Storms
1168,1,Hail/ Severe Storm/Thunder Storm/ Wind/ Winter Weather,1,1985,2,0,0,16033,Hail/Storms
1169,6,Hail/ Severe Storm/Thunder Storm/ Wind/ Winter Weather,1,1985,2,0,0,15957,Hail/Storms
1170,1,Winter Weather,1,1985,1,0,0,14424,Winter Weather
1171,2,Hail/ Wind,2,1985,1,0,0,14298,Hail/Storms
1172,5,Hail/ Wind,2,1985,1,0,0,10832,Hail/Storms
1173,1,Flooding/ Severe Storm/Thunder Storm,1,1985,1,0,0,8114,Flooding/Storms
1174,5,Flooding,3,1985,1,0,0,7454,Flooding
1175,1,Winter Weather,1,1985,1,0,0,4265,Winter Weather
1176,4,Hail,2,1985,1,0,0,4160,Hail
1177,5,Hail,2,1985,1,0,0,3944,Hail
1178,3,Hail,2,1985,1,0,0,3762,Hail
1179,3,Winter Weather,4,1985,1,0,0,1869,Winter Weather
1180,2,Winter Weather,4,1985,1,0,0,1806,Winter Weather
1181,1,Winter Weather,1,1985,1,0,0,1787,Winter Weather
1182,4,Winter Weather,4,1985,1,0,0,1783,Winter Weather
1183,2,Wildfire,2,1985,30,0,0,1782,Wildfire
1184,1,Wildfire,2,1985,30,0,0,1770,Wildfire
1185,1,Winter Weather,4,1985,1,0,0,1764,Winter Weather
1186,3,Wildfire,2,1985,30,0,0,1669,Wildfire
1187,4,Wildfire,2,1985,30,0,0,1662,Wildfire
1188,5,Winter Weather,4,1985,1,0,0,1649,Winter Weather
1189,6,Winter Weather,4,1985,1,0,0,1620,Winter Weather
1190,5,Wildfire,2,1985,30,0,0,1605,Wildfire
1191,6,Wildfire,2,1985,30,0,0,1549,Wildfire
1192,2,Drought,1,1985,31,0,0,1144,Drought/Heat
1193,4,Hail,3,1985,1,0,0,788,Hail
1194,2,Hail,1,1985,1,0,0,731,Hail
1195,4,Wind,3,1985,1,0,0,730,Wind
1196,1,Winter Weather,1,1985,1,0,0,401,Winter Weather
1197,6,Winter Weather,1,1985,1,0,0,0,Winter Weather
1198,1,Winter Weather,1,1985,1,0,0,0,Winter Weather
1199,2,Winter Weather,1,1985,1,0,0,0,Winter Weather
1200,4,Winter Weather,1,1985,1,0,0,0,Winter Weather
1201,3,Winter Weather,1,1985,1,0,0,0,Winter Weather
1202,5,Winter Weather,1,1985,1,0,0,0,Winter Weather
1203,1,Winter Weather,2,1985,1,0,0,0,Winter Weather
1204,6,Heat,2,1985,7,0,0,0,Drought/Heat
1205,1,Heat,2,1985,7,0,0,0,Drought/Heat
1206,2,Heat,2,1985,7,0,0,0,Drought/Heat
1207,4,Heat,2,1985,7,0,0,0,Drought/Heat
1208,3,Heat,2,1985,7,0,0,0,Drought/Heat
1209,5,Heat,2,1985,7,0,0,0,Drought/Heat
1210,5,Winter Weather,4,1985,1,11,0,0,Winter Weather
1211,3,Wind,3,1985,1,0,0,0,Wind
1212,2,Coastal,4,1986,2,0,0,8675007,Coastal
1213,3,Severe Storm/Thunder Storm/ Wind,1,1986,1,0,0,8037756,Storms
1214,3,Drought,3,1986,31,0,0,1885686,Drought/Heat
1215,2,Drought,3,1986,31,0,0,1854327,Drought/Heat
1216,1,Drought,3,1986,31,0,0,1709592,Drought/Heat
1217,5,Drought,3,1986,31,0,0,1689260,Drought/Heat
1218,6,Drought,3,1986,31,0,0,1618616,Drought/Heat
1219,4,Drought,3,1986,31,0,0,1566236,Drought/Heat
1220,4,Wind,2,1986,1,0,0,863854,Wind
1221,2,Lightning,3,1986,1,0,0,820578,Lightning
1222,3,Wind,3,1986,1,0,12,795215,Wind
1223,2,Wind,3,1986,1,0,0,791490,Wind
1224,1,Lightning,3,1986,1,0,0,785466,Lightning
1225,3,Flooding,3,1986,1,0,0,783643,Flooding
1226,3,Lightning,3,1986,1,0,0,775083,Lightning
1227,5,Wind,2,1986,1,0,0,748769,Wind
1228,2,Flooding,3,1986,1,0,0,747818,Flooding
1229,2,Lightning,4,1986,1,0,0,721186,Lightning
1230,3,Wind,3,1986,1,0,0,87170,Wind
1231,3,Hail,2,1986,1,0,0,84839,Hail
1232,4,Wind,2,1986,1,0,0,84023,Wind
